video_id,video_title,publish_time,view_count,like_count,comment_count,likes_percentual,comments_percentual
KnRnrsIBP3g,Handyman Tips &amp; Hacks That Work Extremely Well ▶️3,2022-02-03 01:11:42+00:00,2884009.0,5638.0,110.0,0.19549176164152055,0.003814135115389723
6e8meJzCoKY,Handyman Tips &amp; Hacks That Work Extremely Well ▶️2,2022-01-30 23:52:11+00:00,3210686.0,7434.0,162.0,0.23153930343857979,0.005045650680259608
Rz8ftTd52Fo,Handyman Tips &amp; Hacks That Work Extremely Well,2022-01-27 01:24:37+00:00,,,,,
QSGbh4EJUJk,Quick Tip #shorts #tips,2022-01-24 00:27:48+00:00,157740.0,3739.0,32.0,2.3703562824901736,0.020286547483200204
HJifKVabLgI,Handyman Tips &amp; Hacks That Work Extremely Well,2022-01-20 02:46:13+00:00,663983.0,5378.0,127.0,0.8099604959765536,0.019126995721275998
k7jZhC0FdFw,Amazing Handyman Tips and Tricks You Need to Know,2022-01-16 23:59:48+00:00,652236.0,5252.0,105.0,0.8052300087698318,0.016098467425901056
_TR8cUX1-T4,Amazing tricks that will take you to another level of work – Tips and tricks,2022-01-15 01:33:04+00:00,967151.0,5812.0,122.0,0.6009402875042263,0.01261436942111418
7fz14YJBRKs,Amazing tricks that will take you to another level of work – Tips and tricks,2022-01-13 00:28:18+00:00,2307505.0,7408.0,142.0,0.321039391030572,0.00615383281943051
GkwV2FBi62o,Amazing tricks that will take you to another level of work – Tips and tricks,2022-01-08 01:33:04+00:00,3888040.0,10089.0,185.0,0.2594880711103795,0.004758181500190327
-X-zi4U4oc0,Amazing tricks that will take you to another level of work – Tips and tricks,2022-01-06 01:03:21+00:00,347152.0,4170.0,117.0,1.2012029312808223,0.03370281605751947
ke93PRhf0es,6 BRILLIANT IDEAS &amp; INVENTIONS,2022-01-03 02:03:35+00:00,2045142.0,19034.0,332.0,0.9306933210505677,0.01623359160390819
I6_eN26oGuY,Amazing tricks that will take you to another level of work – Tips and tricks,2021-12-23 00:11:22+00:00,,,,,
